"Jour","Mois","Titre","Catégorie","Stat","Difficulté","Temps","Coût","Objectif","Pourquoi","Instructions","Variante facile","Variante difficile","Récompense","Statut","Validé","Date de validation","Ressenti"
"114","Mois 4","La présence dans l'épreuve","Relations","Charisme","5","30 min","0 €","Être présent pour quelqu'un qui traverse un moment difficile.","On reconnaît les vrais liens dans l'épreuve. Soutenir quelqu'un sans vouloir « régler » son problème, juste être là, est un cap de maturité relationnelle qui marque profondément.","1. Repère une personne de ton entourage qui traverse quelque chose de dur. 2. Va vers elle sans solution toute faite : « Je suis là, raconte-moi ». 3. Offre une présence concrète : du temps, une aide pratique, un signe attentionné une fois l'élan retombé.","Envoie un message attentionné et propose ton aide à quelqu'un en difficulté.","Accompagne physiquement la personne dans une démarche ou un moment difficile.","Tu deviens un pilier pour les autres — et tu ressens la fierté profonde d'avoir compté quand ça comptait.","À venir","Non","",""
"115","Mois 4","La parole en public restreint","Confiance en soi","Courage","5","20 min","0 €","Prendre la parole devant un groupe pour exprimer une idée ou un avis.","S'exprimer devant plusieurs personnes active la peur du jugement social. La surmonter sur un petit groupe te prépare à occuper ta place dans toutes tes relations collectives.","1. Repère une occasion : réunion, repas de groupe, discussion entre amis. 2. Prépare une idée claire en une ou deux phrases. 3. Prends la parole, regarde le groupe, et va jusqu'au bout de ton idée.","Exprime ton avis dans un petit groupe de personnes en confiance.","Prends la parole devant un groupe où tu connais peu de monde.","Tu prends ta place dans le collectif et tu prouves que ta voix mérite d'être entendue.","À venir","Non","",""
"116","Mois 4","La relation qui t'épuise, regardée en face","Gestion des émotions","Mental","5","30 min","0 €","Nommer une relation qui te tire vers le bas et décider d'un geste de protection.","Certaines relations te vident sans que tu le formules jamais clairement. Mettre des mots sur ce que tu ressens après avoir vu cette personne, et choisir une réponse, est un acte de respect envers toi-même.","1. Pense à la personne dont la présence te laisse régulièrement vidé, tendu ou diminué. 2. Écris honnêtement ce que tu ressens après l'avoir vue, et pourquoi. 3. Choisis une réponse concrète : prendre de la distance, poser une limite, ou en parler avec elle.","Mets simplement des mots sur ce que tu ressens, sans encore décider d'un geste.","Engage dès aujourd'hui le premier geste de protection que tu as identifié.","Tu reprends le contrôle de ton énergie relationnelle et tu cesses de subir ce lien en silence.","À venir","Non","",""
"117","Mois 4","Le sujet qui fâche, en paix","Relations","Mental","5","30 min","0 €","Discuter calmement d'un désaccord profond sans chercher à gagner.","Savoir débattre sans se déchirer est une compétence rare. Écouter un avis opposé sans le démolir muscle ta maturité émotionnelle et renforce le respect mutuel, même dans le désaccord.","1. Choisis un sujet de désaccord avec une personne ouverte au dialogue. 2. Pose comme règle de comprendre sa position avant de défendre la tienne. 3. Reformule son point de vue à voix haute avant de répondre : « Si je comprends bien, tu penses que… ».","Discute d'un désaccord léger en t'entraînant à reformuler l'autre.","Aborde un sujet sensible (valeurs, choix de vie) en gardant ton calme.","Tu découvres qu'on peut être en désaccord et se respecter — une compétence qui apaise toutes tes relations.","À venir","Non","",""
"118","Mois 4","Le lien intergénérationnel","Expériences nouvelles","Création","5","45 min","0 €","Avoir une vraie conversation avec une personne d'une autre génération.","On reste souvent enfermé dans sa tranche d'âge. Échanger en profondeur avec un aîné ou un plus jeune élargit ta vision, t'apporte de la sagesse ou de la fraîcheur, et crée un lien rare.","1. Choisis une personne d'une génération différente : grand-parent, voisin âgé, jeune de ton entourage. 2. Pose-lui des questions sur son époque, ses choix, ce qu'elle aurait fait autrement. 3. Écoute sans juger et partage ta propre vision en retour.","Pose quelques questions à un proche d'une autre génération que tu côtoies déjà.","Provoque cet échange avec quelqu'un que tu ne connais pas encore.","Tu sors de ta bulle générationnelle et tu repars enrichi d'un regard différent sur la vie.","À venir","Non","",""
"119","Mois 4","Les trois personnes à choisir","Organisation","Discipline","4","30 min","0 €","Choisir consciemment trois personnes à qui consacrer plus d'attention, et planifier un geste pour chacune.","On laisse souvent le hasard décider de qui on voit. Au lieu de tout cartographier, vise juste : décider activement qui nourrir te fait passer de relations subies à des relations choisies. C'est un acte de pilotage de ta vie sociale.","1. Demande-toi qui, dans ta vie, mérite plus d'attention que ce que tu lui donnes vraiment. 2. Retiens trois noms, sans plus. 3. Pour chacun, planifie un geste concret et daté pour les prochaines semaines (appel, invitation, message vrai).","Choisis une seule personne et un seul geste à poser cette semaine.","Bloque dès maintenant les trois moments dans ton agenda et envoie le premier message.","Tu reprends la main sur ta vie sociale et tu investis ton énergie là où elle compte vraiment.","À venir","Non","",""
"120","Mois 4","La déclaration qui compte","Sortie de zone de confort","Courage","5","20 min","0 €","Dire à une personne ce qu'elle représente vraiment pour toi, en face.","Pour clore le mois, le défi le plus fort : exprimer à voix haute, dans les yeux, ce qu'on garde d'habitude pour soi. C'est rare, ça fait peur, et ça scelle un lien pour toujours.","1. Choisis la personne qui a le plus compté dans ta vie ce mois-ci. 2. Prépare une phrase vraie : « Tu comptes énormément pour moi parce que… ». 3. Dis-la en face, dans les yeux, sans la noyer dans une blague.","Dis-le par appel vidéo si la personne est loin.","Dis-le à quelqu'un avec qui tu n'as jamais osé être aussi direct.","Tu clôtures le mois des relations par l'acte le plus courageux qui soit — et tu en ressors fier d'avoir osé l'essentiel.","À venir","Non","",""
"121","Mois 5","Le petit-déjeuner d'un autre pays","Expériences nouvelles","Création","4","25 min","~3 €","Remplacer ton petit-déjeuner habituel par un petit-déj salé ou inhabituel venu d'ailleurs, et capter l'effet sur ton énergie de la matinée.","On démarre presque tous la journée sur pilote automatique, avec le même bol sucré. Casser ce réflexe par une expérience gustative venue d'un autre pays réveille tes sens et te montre, dans ton corps, qu'un autre carburant matinal existe.","Choisis un petit-déjeuner d'ailleurs : œufs et avocat (anglo-saxon), riz et soupe miso (japonais), fromage-tomate-concombre (turc/grec), haricots et pain (latino). Mange-le posément, sans écran, en notant le goût et la texture qui te surprennent. Vers 11 h, observe ta faim et ton énergie : plus stable, plus longue, différente ?","Garde ton petit-déj mais ajoute-lui un seul élément salé inhabituel (œuf, avocat, fromage).","Tiens le petit-déj salé deux matins de suite et compare l'effet d'un jour à l'autre.","Tu transformes un automatisme en découverte. La curiosité d'un voyageur, dès la première bouchée de la journée.","À venir","Non","",""
"122","Mois 5","Bouger en cachette","Sport","Vitalité","4","Réparti sur la journée","0 €","Caser 5 micro-séances de mouvement de 2 minutes dans des moments inattendus de ta journée, et observer l'effet sur ton humeur.","Le mouvement n'a pas besoin d'une salle ni d'une heure. Glissé en douce dans les interstices de la journée, il agit comme un interrupteur d'humeur — et te prouve que ton corps répond à la moindre sollicitation.","Repère 5 moments creux : attente du micro-ondes, pause aux toilettes, pub à la télé, file d'attente, ascenseur. Détourne-les en 2 minutes de mouvement discret : squats, mollets, gainage debout, secouer les bras, sautiller. Juste après chaque micro-séance, note d'un mot ton humeur (avant / après).","Vise 3 micro-séances au lieu de 5.","Rends-les invisibles en public (étirements discrets, contractions isométriques) sans que personne ne remarque.","Tu découvres que tu peux te recharger en 2 minutes, n'importe où. Une complicité secrète avec ton propre corps.","À venir","Non","",""
"123","Mois 5","L'assiette arc-en-ciel","Santé","Vitalité","4","25 min","~3 €","Composer un repas en visant le plus de couleurs naturelles possible dans l'assiette, et le manger en remarquant chaque saveur.","La diversité des couleurs est le raccourci le plus simple pour varier les nutriments sans rien compter. Mais ici, l'enjeu est sensoriel : tu manges avec les yeux d'abord, puis tu redécouvres des goûts que la routine avait effacés.","Au marché ou au frigo, rassemble un maximum de couleurs (rouge, vert, orange, violet, jaune). Compose une assiette où les végétaux prennent au moins la moitié de la place. À table, identifie chaque saveur à voix basse : amer, sucré, acide, croquant.","Vise trois couleurs distinctes pour une première assiette.","Cuisine un plat unique réunissant cinq couleurs, sans aucun produit ultra-transformé.","Tu prouves que sain rime avec beau et appétissant. La fierté de te dresser une assiette qui te donne envie.","À venir","Non","",""
"124","Mois 5","Le bouton calme du souffle","Gestion des émotions","Mental","4","10 min","0 €","Au cœur d'un pic de stress réel, piloter ta respiration pour faire baisser la tension, et ressentir le basculement.","La respiration est la seule fonction automatique que tu peux reprendre en main à volonté. L'expérimenter en plein stress, et non au calme, te prouve dans ta chair que tu possèdes un interrupteur de sang-froid accessible partout.","Au prochain moment de tension (avant un appel, dans les bouchons, après une mauvaise nouvelle), arrête-toi. Inspire 4 secondes par le nez, retiens 2, expire 6 secondes par la bouche. Enchaîne 5 minutes. Avant/après, situe ta tension sur une échelle ressentie de 1 à 10, et note l'écart.","Entraîne le souffle au calme le soir pour le maîtriser, avant de l'utiliser sous stress.","Déploie la technique trois fois dans la journée, à trois pics différents.","Tu découvres un bouton de calme gratuit, dans ta poche en permanence. La main reprise sur ton état intérieur.","À venir","Non","",""
"125","Mois 5","La dernière heure analogique","Discipline","Discipline","4","60 min","0 €","Vivre ta dernière heure avant le coucher entièrement hors écran, en la remplissant d'une activité sensorielle et calme.","La lumière et la stimulation des écrans retardent le sommeil. Plutôt que de juste « couper », tu remplaces par une expérience apaisante — et tu ressens la différence sur la vitesse à laquelle tu plonges dans le sommeil.","Une heure avant le lit, range tous les écrans hors de la chambre. Choisis une activité analogique qui occupe les mains ou le corps : lecture papier, étirements, douche chaude, musique douce, dessin. Au réveil, note d'un mot la qualité de ton endormissement et de ta nuit.","Commence par 30 minutes analogiques avant le lit.","Passe la chambre en zone sans téléphone pour toute la nuit.","Tu offres à ton cerveau le sas qu'il réclame. Endormissement plus doux, réveil plus net.","À venir","Non","",""
"126","Mois 5","La marche sans casque","Santé","Vitalité","4","15 min","0 €","Marcher 15 minutes après un repas, écouteurs retirés, en captant uniquement ce que tes sens t'apportent dehors.","Bouger après manger stabilise ta glycémie et coupe le coup de barre. En retirant le casque, tu transformes la marche digestive en bain sensoriel : sons, lumière, air, qui reposent ton attention saturée.","Juste après le déjeuner ou le dîner, sors sans écouteurs ni téléphone en main. Marche 15 minutes à allure tranquille en nommant mentalement trois sons, trois choses vues, une odeur. Au retour, observe ta lourdeur digestive et ta clarté mentale.","Marche 10 minutes autour du pâté de maisons.","Choisis un itinéraire nouveau que tu n'as jamais emprunté.","Tu transformes l'après-repas mou en parenthèse vivante. Moins de lourdeur, plus de présence.","À venir","Non","",""
"127","Mois 5","La journée sans sucre ajouté","Santé","Vitalité","4","Toute la journée","0 €","Traverser une journée entière sans aucun sucre ajouté, et observer ta courbe d'énergie sans pics ni chutes.","Le sucre ajouté impose des montagnes russes d'énergie sans que tu le réalises. Une journée sans révèle deux choses : à quel point il est caché partout, et la stabilité étrange d'une journée sans son yo-yo.","Le matin, traque les sucres cachés de ta journée type (sauces, pain de mie, yaourts aromatisés, boissons). Remplace par du brut : fruit entier, eau, café nature, oléagineux. En fin de journée, compare ta sensation d'énergie à un jour ordinaire (creux de 11 h et de 16 h en particulier).","Supprime seulement les boissons sucrées et les sucreries évidentes.","Repère à l'aveugle, dans un produit du quotidien, le sucre caché avant de lire l'étiquette.","Tu reprends le contrôle sur une habitude qui te pilotait. La preuve que tu peux dire non à un réflexe sucré.","À venir","Non","",""
"128","Mois 5","L'heure fixe qui ancre","Santé","Vitalité","5","","","Te lever à une heure fixe et créer un rituel de réveil identique, pour ressentir l'effet d'une horloge interne stable.","La régularité du sommeil compte autant que sa durée. Plutôt que de surveiller des horaires comme un comptable, tu installes un rituel de réveil reproductible — un repère sensoriel qui synchronise ton corps.","Fixe une heure de réveil réaliste, week-end compris. Crée une séquence d'ouverture identique : lumière, eau, deux minutes d'étirement, même ordre chaque matin. Note comment ton corps anticipe peu à peu le réveil, jour après jour.","Concentre-toi uniquement sur l'heure de lever fixe, sans rituel imposé.","Tiens le même rituel de réveil trois matins d'affilée.","Tu donnes à ton corps un cadre qui le repose vraiment. La maîtrise de ton rythme plutôt que sa subie.","À venir","Non","",""
"129","Mois 5","Le défi pompes fractionné","Sport","Vitalité","5","15 min","0 €","Atteindre un volume de pompes qui t'intimide un peu, fractionné sur la journée, et sentir l'effort s'apprivoiser série après série.","Un volume intimidant devient atteignable quand on le découpe. L'expérience à vivre ici, c'est la sensation de muscles qui « chauffent » et répondent quand tu les sollicites par petites touches répétées.","Vise un total qui te semble juste hors de portée (par ex. 50), à répartir en petites séries. Adapte la forme à ton niveau (genoux au sol ou pieds), qualité avant quantité. À chaque série, ressens la fatigue locale puis sa récupération avant la suivante.","Vise un total de 30, sur les genoux si besoin.","Atteins 80, ou réduis le nombre de séries pour augmenter l'intensité.","La satisfaction d'un objectif coché et la sensation physique d'un corps qui répond. Une preuve tangible.","À venir","Non","",""
"130","Mois 5","Le plat fait main de A à Z","Compétences","Savoir","5","45 min","~5 €","Cuisiner un plat entièrement à partir d'ingrédients bruts, en savourant le geste autant que le résultat.","Cuisiner toi-même te redonne le contrôle sur ce que tu manges et coupe l'ultra-transformé. C'est aussi une compétence de vie : ici, tu vis le plaisir sensoriel du geste — couper, sentir, ajuster, goûter.","Choisis un plat simple que tu sais pouvoir réussir à partir d'ingrédients bruts. Cuisine sans plat préparé ni livraison, en goûtant et corrigeant l'assaisonnement au fil. Mange-le en notant ce que « fait maison » change au goût et à la fierté.","Cuisine intégralement un seul repas plutôt que toute la journée.","Invente une variation personnelle d'une recette connue, sans la suivre à la lettre.","Tu gagnes une compétence qui te servira toute ta vie. La fierté de te nourrir par tes propres mains.","À venir","Non","",""
"131","Mois 5","Le test à l'aveugle de l'eau","Santé","Vitalité","5","","","Remplacer toutes tes boissons de la journée par de l'eau, sans appli ni compteur, et deviner à 16 h l'effet ressenti.","La déshydratation légère est une cause silencieuse de fatigue et de brouillard mental. Plutôt que de compter des litres, tu mènes une expérience à l'aveugle : ton corps comme seul instrument de mesure.","Aujourd'hui, eau uniquement : pas de soda, jus, café sucré ni alcool. Bois à la soif, sans rien chronométrer. À 16 h, avant tout autre indice, devine et écris l'effet ressenti : énergie, clarté, maux de tête, faim. Compare ta prédiction à comment tu te sens vraiment ce soir.","Garde un seul café du matin et passe le reste de la journée à l'eau.","Tiens deux jours à l'eau seule et note l'évolution du ressenti de J1 à J2.","Tu prends conscience d'un besoin que tu négligeais. La fin du brouillard, sans aucun tableau de bord.","À venir","Non","",""
"132","Mois 5","Écouter ton corps sans rien corriger","Santé","Vitalité","5","","","Repérer dans la journée 3 signaux corporels que tu ignores d'habitude (tension, faim, fatigue), et y répondre concrètement dans l'heure.","Le corps parle en continu ; on l'a juste appris à museler. Réapprendre à capter ses signaux — puis à y répondre vraiment, et non à les écraser au café ou au scroll — c'est la base de toute écoute de soi.","Trois fois aujourd'hui, fais une pause de 30 secondes et scanne ton corps : où ça tire, ça serre, ça réclame ? Nomme le signal (épaules nouées, faim réelle, paupières lourdes, soif). Réponds-y dans l'heure par le bon geste : t'étirer, manger, t'allonger 10 min, boire — sans le masquer.","Repère et traite un seul signal corporel dans la journée.","Tiens un mini-relevé sur deux jours pour voir quel signal revient le plus souvent.","Tu réapprends à habiter ton corps au lieu de le faire taire. Le soulagement d'être enfin entendu, par toi-même.","À venir","Non","",""
"133","Mois 5","Dénouer le corps assis","Sport","Vitalité","5","20 min","0 €","Suivre une séance de mobilité de 15 minutes et localiser, zone par zone, là où ton corps est le plus raide.","Des heures assis raccourcissent muscles et articulations. La mobilité entretient ton corps comme une machine qu'on graisse — et te révèle, par la sensation, la carte précise de tes tensions cachées.","Dégage un espace au sol, tenue confortable. Mobilise en douceur nuque, épaules, hanches, dos, chevilles, en tenant chaque position 20 à 30 secondes. Repère la zone la plus bloquée et offre-lui une minute de plus.","Séance de 10 minutes centrée sur le dos et les épaules.","Ajoute une posture d'équilibre tenue 30 secondes par jambe.","Tu ressens ton corps plus libre et plus léger. Le soulagement immédiat des zones négligées.","À venir","Non","",""
"134","Mois 5","Le duel des deux petits-déjeuners","Santé","Vitalité","5","15 min","~2 €","Composer un petit-déjeuner riche en protéines et comparer, à l'aveugle, l'effet de satiété à ton petit-déj sucré habituel.","Un petit-déj sucré crée un pic puis une chute en milieu de matinée. Les protéines tiennent. Plutôt que de te le faire croire, vis le test : ton ventre et ta concentration jugeront eux-mêmes.","Construis ton petit-déj autour d'une vraie protéine (œufs, fromage blanc, yaourt nature, légumineuses), avec peu de sucre rapide. Avant de manger, prédis à quelle heure la faim reviendra. Vers 11 h, vérifie ta prédiction et compare à un matin sucré classique.","Ajoute simplement un œuf ou un yaourt nature à ton petit-déj habituel.","Alterne un matin protéiné / un matin sucré et compare les deux ressentis côte à côte.","Tu coupes la fringale de 11 h et restes stable. La sensation de carburer au bon carburant.","À venir","Non","",""
"135","Mois 5","Le bain de lumière du matin","Aventure","Courage","5","30 min","0 €","Passer 30 minutes dehors en pleine lumière naturelle le matin, en mouvement, et sentir l'effet sur ton réveil et ton humeur.","La lumière du matin règle ton horloge interne et soutient le moral, surtout enfermé toute la journée. C'est une recharge gratuite qu'aucun écran ne remplace — à condition de l'exposer vraiment à ton corps.","Sors le plus tôt possible dans ta matinée, idéalement dans l'heure suivant le réveil. Marche 30 minutes dans un parc, une rue arborée ou près de l'eau, visage offert à la lumière. Compare ta vivacité du midi à un matin passé enfermé.","Reste 20 minutes dehors, même sur un balcon ensoleillé.","Combine la lumière du matin avec une activité physique soutenue.","Tu recharges à la source la plus gratuite qui soit. Tête plus claire, humeur relevée dès la sortie.","À venir","Non","",""
"136","Mois 5","Le grand réagencement du frigo","Organisation","Discipline","5","30 min","0 €","Réorganiser ton frigo et tes placards pour que les bons aliments soient les plus visibles et les plus faciles à attraper.","Ton environnement décide à ta place : ce qui est à hauteur des yeux finit dans ton assiette. Réagencer ton garde-manger, c'est pirater tes futurs choix sans aucune volonté à mobiliser.","Vide une étagère du frigo et un placard pour repartir à zéro. Place les aliments sains en première ligne, hauteur des yeux ; range snacks et tentations en hauteur ou hors de vue. Jette le périmé et repère le « point faible » de ton garde-manger.","Concentre-toi sur la porte du frigo et un seul placard à snacks.","Crée une « zone facile » de snacks sains prédécoupés et prêts à attraper.","Tu fais le ménage dans ton environnement, donc dans tes futurs choix. Le sentiment de partir sur des bases saines.","À venir","Non","",""
"137","Mois 5","Le rituel du soir sans café","Discipline","Discipline","5","Toute la journée","0 €","Couper toute caféine après 14 h et inventer un rituel chaud de substitution, pour ressentir la différence à l'endormissement.","La caféine reste active des heures et dégrade le sommeil même quand tu t'endors sans peine. Plutôt que de juste « arrêter », tu crées un nouveau plaisir chaud — le manque devient rituel.","Bois ton dernier café, thé ou énergisant avant 14 h. Après cette heure, adopte un rituel chaud : tisane, infusion, décaféiné — quelque chose que tu attends avec plaisir. Le soir, observe la facilité et la rapidité de ton endormissement.","Fixe la limite à 16 h pour une première étape.","Teste plusieurs infusions dans la semaine et trouve ta préférée pour ancrer le rituel.","Tu améliores ton sommeil en retirant, pas en ajoutant. Un réveil plus reposé dès le lendemain.","À venir","Non","",""
"138","Mois 5","La décharge cardio express","Sport","Vitalité","5","20 min","0 €","Réaliser un cardio de 15 minutes qui fait monter ton rythme cardiaque, et capter la vague d'énergie qui suit l'effort.","Un cardio court mais intense booste l'énergie, la forme et l'humeur via les endorphines. L'expérience à vivre, c'est ce moment précis où, le souffle court, l'esprit s'éclaircit d'un coup.","Choisis un format simple : jumping jacks, montées de genoux, burpees, corde à sauter. Alterne 40 secondes d'effort et 20 secondes de repos pendant 15 minutes. Assis-toi 2 minutes après : observe la vague d'énergie et de clarté qui monte.","Fais 10 minutes en réduisant l'intensité.","Pousse le temps d'effort à 50 secondes ou ajoute du poids.","Tu ressens la décharge qui suit l'effort. La fierté d'avoir transpiré quand ne rien faire était plus simple.","À venir","Non","",""
"139","Mois 5","Le repas en pleine conscience","Santé","Mental","5","25 min","0 €","Prendre un repas complet sans aucun écran, lentement, en suivant tes signaux de satiété en temps réel.","Manger devant un écran te coupe de la satiété et te fait avaler plus, plus vite. Manger en conscience te reconnecte au goût, à la texture, et à ce moment précis où ton corps dit « ça suffit ».","Pose le téléphone hors de portée, éteins la télé. Mange lentement, en reposant les couverts entre chaque bouchée, attentif aux saveurs. Guette le moment où la faim s'éteint, et arrête-toi là, même s'il reste de l'assiette.","Applique la règle sur la première moitié du repas seulement.","Mange les yeux fermés sur quelques bouchées pour amplifier le goût.","Tu redécouvres le plaisir de manger. Une satiété plus juste, une digestion apaisée.","À venir","Non","",""
"140","Mois 5","La chasse aux voleurs d'énergie","Apprentissage","Savoir","5","15 min","0 €","Identifier en direct, dans ta journée, le moment qui te vide le plus et celui qui te recharge le plus, et nommer leur cause.","Tu ne peux pas protéger ce que tu n'as pas repéré. Au lieu de tout noter, tu mènes une enquête ciblée : trouver les deux instants charnières, et comprendre pourquoi ils te font cet effet.","Toute la journée, reste en alerte sur tes variations d'énergie. En fin de journée, isole le pire creux et le meilleur pic, et écris ce qui les a déclenchés (personne, lieu, activité, repas). Décide d'une chose à éviter et d'une à reproduire demain.","Repère seulement le plus gros « voleur d'énergie » de ta journée.","Mène l'enquête deux jours et vois si le même coupable revient.","Tu deviens l'enquêteur lucide de ton propre fonctionnement. Tu sais enfin qui te draine et qui te recharge.","À venir","Non","",""
"141","Mois 5","La vraie faim contre l'envie","Discipline","Mental","5","Toute la journée","0 €","À chaque envie de grignoter, marquer une pause pour distinguer la vraie faim de l'émotion qui la déclenche.","Le grignotage est souvent un réflexe d'ennui ou de stress déguisé en faim. L'expérience consiste à intercepter l'automatisme main-bouche et à enquêter sur l'émotion cachée derrière chaque envie.","Quand l'envie de grignoter surgit, attends 5 minutes avant tout geste. Demande-toi : « Vraie faim de ventre, ou émotion ? » et nomme l'émotion (ennui, stress, fatigue, frustration). Si c'est une émotion, réponds-lui autrement (eau, marche, appel, respiration) plutôt que par la nourriture.","Applique la pause uniquement sur les envies de l'après-midi.","Tiens un mini-journal des émotions déclencheuses sur deux jours.","Tu reprends le contrôle sur un automatisme inconscient. Tu distingues enfin la faim réelle de l'envie passagère.","À venir","Non","",""
"142","Mois 5","Le réveil en mouvement","Santé","Vitalité","6","20 min","0 €","Démarrer ta journée par 15 minutes de mouvement avant tout écran, et ressentir la différence d'état toute la matinée.","Bouger dès le réveil active la circulation et te met en mode action plutôt que passivité. C'est l'exact opposé du démarrage scroll qui plombe l'énergie — et la différence se sent dans tout le reste de la matinée.","Prépare ce soir une routine simple : étirements, gainage, marche, mobilité. Au réveil, enchaîne 15 minutes de mouvement avant de toucher ton téléphone. À midi, compare ton état à un matin lancé sur écran.","Fais 10 minutes de mouvement doux pour commencer.","Ajoute une courte séquence de cardio pour finir pleinement réveillé.","Tu démarres en acteur de ta journée, pas en spectateur. Énergie et clarté installées dès le réveil.","À venir","Non","",""
"143","Mois 5","La cuisine fermée pour la nuit","Discipline","Discipline","6","Toute la soirée","0 €","Terminer ton dîner au moins 3 h avant le coucher et ne plus rien manger ensuite, pour offrir à ton corps une vraie pause digestive.","Une pause digestive avant la nuit améliore le sommeil et la récupération. Couper le grignotage du soir est l'un des leviers les plus sous-estimés de l'énergie — et le réveil léger du lendemain en est la preuve directe.","Cale ton dîner pour qu'il se termine au moins 3 h avant le lit. Après le repas, « ferme la cuisine » : rituel symbolique (éteindre la lumière, ranger), plus rien jusqu'au matin. Si l'envie monte, bois de l'eau ou une tisane ; au réveil, note la légèreté du ventre.","Vise une pause de 2 h entre le dîner et le coucher.","Tiens cette pause digestive trois soirs d'affilée.","Tu offres à ton corps une nuit de vraie récupération. Réveil plus léger, ventre plus calme.","À venir","Non","",""
"144","Mois 5","La douche froide","Sortie de zone de confort","Courage","6","10 min","0 €","Terminer ta douche par 30 secondes d'eau froide, et garder ton calme à l'intérieur de l'inconfort.","L'eau froide te confronte à un inconfort volontaire et entraîne ta capacité à rester posé sous stress. C'est un entraînement mental autant que physique — la vraie expérience étant ce que tu fais de ta tête pendant ces 30 secondes.","Douche-toi normalement à température agréable. À la fin, bascule en froid et reste dessous 30 secondes. Pendant ce temps, respire lentement et observe la panique reculer si tu ne luttes pas.","Commence par 15 secondes d'eau froide.","Tiens 60 secondes ou prends toute la douche en froid.","Tu prouves que tu peux choisir l'inconfort et le traverser calmement. Décharge d'énergie et victoire dès le matin.","À venir","Non","",""
"145","Mois 5","La journée tout en marchant","Sport","Vitalité","6","Réparti sur la journée","0 €","Transformer un maximum de tes activités fixes en activités « en marchant », et sentir comment le corps réclame le mouvement.","La marche est l'activité la plus accessible et la plus sous-estimée. Plutôt que de courir après un chiffre de pas, tu réinventes ta journée : appels, réflexion, conversations — tout ce qui peut se faire debout et en mouvement.","Liste tes activités assises de la journée (appels, brainstorming, réseaux). Convertis-en au moins trois en versions « marchées » : appel en marchant, réflexion en marchant, café marché. Le soir, repère à quel moment ton corps t'a vraiment réclamé de bouger.","Convertis une seule activité assise en activité marchée.","Ajoute du dénivelé (escaliers, côte) à chaque déplacement de la journée.","Tu transformes une journée ordinaire en journée active. La fierté d'un corps remis en mouvement par tes choix.","À venir","Non","",""
"146","Mois 5","Le rendez-vous santé enfin pris","Organisation","Discipline","6","30 min","0 €","Prendre ce rendez-vous médical ou de prévention que tu repousses depuis trop longtemps, et ressentir le poids mental qui tombe.","Repousser un contrôle, un dentiste, un examen de routine est une procrastination qui touche directement ta santé. Décrocher ton téléphone aujourd'hui lève un poids que tu traînes parfois depuis des mois.","Identifie le rendez-vous santé que tu évites (médecin, dentiste, ophtalmo, contrôle). Trouve le contact et prends rendez-vous maintenant, par téléphone ou en ligne. Note la date comme un engagement non négociable, et observe le soulagement immédiat.","Si rien n'est urgent, planifie un bilan de prévention de routine.","Règle deux rendez-vous santé en retard dans la même journée.","Tu prends ta santé au sérieux comme un adulte responsable. Le soulagement d'avoir enfin agi.","À venir","Non","",""
"147","Mois 5","Le face-à-face du gainage","Sport","Mental","6","15 min","0 €","Tenir une planche jusqu'à ta limite, puis battre ce temps dans la même session, et observer ce que ton mental raconte sous la brûlure.","Le gainage renforce ta sangle et protège ton dos, mais le vrai terrain de jeu est mental : c'est un face-à-face avec la petite voix qui veut lâcher. L'expérience, c'est d'écouter cette voix… et de tenir un peu plus.","Échauffe-toi, tiens une première planche jusqu'à ta limite et note le temps. Repos de 2 minutes, puis vise à battre ce temps, en observant ce que dit ta tête à la brûlure. Garde le dos droit : qualité de position avant durée.","Gainage sur les genoux, ou deux séries de 20 secondes.","Enchaîne trois planches et additionne le temps total tenu.","Tu mesures ta progression en direct et tu te dépasses. La preuve que ton mental peut pousser ton corps un cran plus loin.","À venir","Non","",""
"148","Mois 5","La journée sobriété d'écran","Productivité","Discipline","6","Toute la journée","0 €","Vivre une journée à écran récréatif minimal et remarquer comment ton attention et ton ennui se transforment.","L'écran passif fatigue les yeux, fragmente l'attention et grignote l'énergie. Le plafonner libère des heures — mais surtout, tu vas redécouvrir un ennui fertile que le scroll étouffait en permanence.","Le matin, décide d'un usage récréatif minimal (réseaux, vidéos, jeux) pour la journée. À chaque réflexe de scroll, remplace par autre chose : marche, lecture, fenêtre, conversation. Le soir, note ce que tu as fait du temps récupéré et comment ta tête se sent.","Vise simplement moins d'écran récréatif que la veille.","Désinstalle temporairement l'appli la plus chronophage pour la journée.","Tu récupères du temps et de l'attention volés. Tête reposée, journée qui paraît plus longue.","À venir","Non","",""
"149","Mois 5","Le repos sans culpabilité","Gestion des émotions","Mental","6","30 min","0 €","T'accorder 30 minutes de vrai repos sans écran ni tâche utile, et observer la résistance intérieure que ça déclenche.","Se reposer sans culpabilité est une compétence rare quand on confond productivité et épuisement. La vraie expérience ici, c'est de regarder en face l'inconfort de « ne rien faire d'utile » — et de tenir quand même.","Bloque 30 minutes comme un rendez-vous avec toi-même. Choisis une activité ressourçante sans écran (sieste, musique, contemplation, thé) et installe-toi vraiment. Quand l'envie de remplir le temps surgit, nomme-la et reste : observe la culpabilité monter puis redescendre.","Commence par 15 minutes de repos délibéré.","Pratique une vraie sieste de 20 minutes en pleine journée.","Tu apprends que te reposer n'est pas une faiblesse mais un investissement. Une recharge profonde et de la paix.","À venir","Non","",""
